Epoch, Train Loss, Val Loss, Time per Epoch (s)
1, 0.0070, 0.0003, 6.98
2, 0.0001, 0.0001, 6.98
3, 0.0001, 0.0001, 6.98
4, 0.0001, 0.0001, 6.99
5, 0.0001, 0.0001, 6.99
6, 0.0001, 0.0001, 6.99
7, 0.0001, 0.0001, 6.99
8, 0.0001, 0.0001, 6.99
9, 0.0001, 0.0001, 6.99
10, 0.0001, 0.0001, 6.99
11, 0.0001, 0.0001, 6.99
